卡号        余额        交易额      日期       时间      钱包流水号 POS流水号   原POS流水号    操作员号    终端序列号  附加数据  商品编号     钱包索引号 记录类型    消费模式     商户      餐段   MAC
0000065793  0011005300        -300  2007-08-09 11:37:12  00148      0001995584  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011005600        -200  2007-08-09 11:37:11  00147      0001995583  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011005800        -100  2007-08-09 11:37:10  00146      0001995582  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011005900        -900  2007-08-09 11:37:09  00145      0001995581  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011006800        -800  2007-08-09 11:37:08  00144      0001995580  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011007600        -700  2007-08-09 11:37:07  00143      0001995579  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010997800        -800  2007-08-09 11:37:27  00162      0001995598  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010998600        -700  2007-08-09 11:37:26  00161      0001995597  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010999300        -600  2007-08-09 11:37:25  00160      0001995596  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010999900        -500  2007-08-09 11:37:22  00159      0001995595  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011000400        -400  2007-08-09 11:37:21  00158      0001995594  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011000800        -300  2007-08-09 11:37:20  00157      0001995593  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011001100        -200  2007-08-09 11:37:20  00156      0001995592  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011001300        -100  2007-08-09 11:37:19  00155      0001995591  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011001400        -900  2007-08-09 11:37:18  00154      0001995590  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0011002300        -800  2007-08-09 11:37:17  00153      0001995589  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010992400        -900  2007-08-09 11:37:44  00172      0001995608  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010993300        -800  2007-08-09 11:37:42  00171      0001995607  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010994100        -700  2007-08-09 11:37:41  00170      0001995606  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010994800        -600  2007-08-09 11:37:40  00169      0001995605  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010995400        -500  2007-08-09 11:37:39  00168      0001995604  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010995900        -400  2007-08-09 11:37:38  00167      0001995603  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010996300        -300  2007-08-09 11:37:37  00166      0001995602  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010996600        -200  2007-08-09 11:37:36  00165      0001995601  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010996800        -100  2007-08-09 11:37:35  00164      0001995600  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010996900        -900  2007-08-09 11:37:28  00163      0001995599  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010992300        -100  2007-08-09 11:38:52  00173      0001995609  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010988700        -800  2007-08-09 11:40:04  00181      0001995619  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010989500        -700  2007-08-09 11:40:03  00180      0001995618  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010990200        -600  2007-08-09 11:40:02  00179      0001995617  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010990800        -500  2007-08-09 11:40:01  00178      0001995616  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010991300        -400  2007-08-09 11:40:00  00177      0001995615  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010991700        -300  2007-08-09 11:39:59  00176      0001995614  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010992000        -200  2007-08-09 11:39:57  00175      0001995613  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010992200        -100  2007-08-09 11:39:55  00174      0001995612  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010992200        -100  2007-08-09 11:39:49  00174      0001995611  0000000000     0000000000  0750070728  00000     00001        001        241         000          00001  1 01
0000065793  0010992200        -100  2007-08-09 11:39:46  00174      0001995610  0000000000     0000000000  0750070728  00000     00001        001        241         000          00001  1 01
0000065793  0010983300        -900  2007-08-09 11:40:18  00191      0001995629  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010984200        -800  2007-08-09 11:40:18  00190      0001995628  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010985000        -700  2007-08-09 11:40:16  00189      0001995627  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010985700        -600  2007-08-09 11:40:15  00188      0001995626  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010986300        -500  2007-08-09 11:40:14  00187      0001995625  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010986800        -400  2007-08-09 11:40:12  00186      0001995624  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010987200        -300  2007-08-09 11:40:11  00185      0001995623  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010987500        -200  2007-08-09 11:40:09  00184      0001995622  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010987700        -100  2007-08-09 11:40:06  00183      0001995621  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010987800        -900  2007-08-09 11:40:05  00182      0001995620  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010978800        -900  2007-08-09 11:40:29  00200      0001995638  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010979700        -800  2007-08-09 11:40:28  00199      0001995637  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010980500        -700  2007-08-09 11:40:27  00198      0001995636  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010981200        -600  2007-08-09 11:40:26  00197      0001995635  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010981800        -500  2007-08-09 11:40:25  00196      0001995634  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010982300        -400  2007-08-09 11:40:24  00195      0001995633  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010982700        -300  2007-08-09 11:40:24  00194      0001995632  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010983000        -200  2007-08-09 11:40:22  00193      0001995631  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010983200        -100  2007-08-09 11:40:19  00192      0001995630  0000000000     0000000000  0750070728  00000     00001        001        209         000          00001  1 01
0000065793  0010978700        -100  2007-08-09 11:41:29  00201      0001995639  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010978600        -100  2007-08-09 11:49:42  00202      0001995640  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010978500        -100  2007-08-09 11:49:45  00203      0001995641  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010978400        -100  2007-08-09 11:49:57  00204      0001995642  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000065793  0010978300        -100  2007-08-09 11:49:59  00205      0001995643  0000000000     0000000000  0750070728  00001     00001        001        065         000          00001  1 01
0000035670  0000007550         100  2007-08-22 08:57:01  00032      0000000599  0000000598     0000000000  0000000000  00000     00001        001        066         000          00079  1 01
